,tpep_pickup_datetime,pickup_longitude,pickup_latitude,in_lat,in_lon
2803336,2016-02-10 19:50:35,-74.01125335693358,40.71564865112305,True,True
2803356,2016-02-10 19:50:38,-74.00515747070312,40.71889114379883,True,True
2803471,2016-02-10 19:50:51,-74.0047149658203,40.717430114746094,True,True
2803487,2016-02-10 19:50:54,-74.00418853759766,40.720970153808594,True,True
2803491,2016-02-10 19:50:55,-74.01219177246094,40.71593856811523,True,True
2803506,2016-02-10 19:50:56,-74.00332641601562,40.72292709350585,True,True
2803536,2016-02-10 19:51:01,-74.00977325439453,40.7209358215332,True,True
2803644,2016-02-10 19:51:18,-74.00394439697266,40.72554397583008,True,True
2803665,2016-02-10 19:51:20,-74.00997161865234,40.72090911865234,True,True
2803768,2016-02-10 19:51:35,-74.01107788085938,40.71602630615234,True,True
2803825,2016-02-10 19:51:41,-74.00703430175781,40.71745681762695,True,True
2803879,2016-02-10 19:51:51,-74.00196838378906,40.71516036987305,True,True
2803929,2016-02-10 19:51:57,-74.00907135009766,40.71545028686523,True,True
2803953,2016-02-10 19:52:00,-74.00291442871094,40.72509765625,True,True
2803958,2016-02-10 19:52:00,-74.00450897216798,40.72163009643555,True,True
2804028,2016-02-10 19:52:10,-74.00994110107422,40.72106170654297,True,True
2804036,2016-02-10 19:52:11,-74.00811767578125,40.71425247192383,True,True
2804078,2016-02-10 19:52:17,-74.0050277709961,40.722900390625,True,True
2804098,2016-02-10 19:52:20,-74.00879669189453,40.71990585327149,True,True
2804101,2016-02-10 19:52:20,-74.00418090820312,40.721900939941406,True,True
2804176,2016-02-10 19:52:31,-74.0049285888672,40.7230339050293,True,True
2804236,2016-02-10 19:52:39,-74.01142883300781,40.71585083007813,True,True
2804335,2016-02-10 19:52:53,-74.0048828125,40.72346115112305,True,True
2804391,2016-02-10 19:53:01,-74.00243377685547,40.718727111816406,True,True
2804407,2016-02-10 19:53:03,-74.0052032470703,40.71977996826172,True,True
2804423,2016-02-10 19:53:06,-74.01065063476562,40.71767044067383,True,True
2804429,2016-02-10 19:53:07,-74.01152801513672,40.71495819091797,True,True
2804442,2016-02-10 19:53:08,-74.00608825683594,40.71701049804688,True,True
2804517,2016-02-10 19:53:17,-74.01042938232422,40.718849182128906,True,True
2804531,2016-02-10 19:53:20,-74.0114974975586,40.71482849121094,True,True
2804547,2016-02-10 19:53:22,-74.00981903076173,40.71471405029297,True,True
2804591,2016-02-10 19:53:28,-74.00859832763672,40.71910095214844,True,True
2804651,2016-02-10 19:53:36,-74.0103530883789,40.71443557739258,True,True
2804784,2016-02-10 19:53:56,-74.004150390625,40.72561645507813,True,True
2804796,2016-02-10 19:53:58,-74.00508880615234,40.7188835144043,True,True
2804812,2016-02-10 19:54:00,-74.0086212158203,40.72009658813477,True,True
2804821,2016-02-10 19:54:01,-74.01011657714845,40.71453094482422,True,True
2804839,2016-02-10 19:54:04,-74.00408935546875,40.72390365600585,True,True
2804846,2016-02-10 19:54:05,-74.00437927246094,40.72473907470703,True,True
2804847,2016-02-10 19:54:05,-74.0101318359375,40.71939468383789,True,True
2804857,2016-02-10 19:54:07,-74.00838470458984,40.72198486328125,True,True
2804880,2016-02-10 19:54:10,-74.00392913818358,40.72555160522461,True,True
2804885,2016-02-10 19:54:10,-74.00441741943358,40.72400665283203,True,True
2804896,2016-02-10 19:54:11,-74.01097869873048,40.71617126464844,True,True
2804925,2016-02-10 19:54:16,-74.00292205810547,40.723388671875,True,True
2804933,2016-02-10 19:54:17,-74.01300048828125,40.71463012695313,True,True
2804999,2016-02-10 19:54:25,-74.00919342041014,40.716270446777344,True,True
2805049,2016-02-10 19:54:33,-74.0052490234375,40.71828842163085,True,True
2805068,2016-02-10 19:54:35,-74.00798797607422,40.717041015625,True,True
2805121,2016-02-10 19:54:42,-74.0098876953125,40.72092819213867,True,True
2805177,2016-02-10 19:54:50,-74.0099868774414,40.72106170654297,True,True
2805185,2016-02-10 19:54:51,-74.00190734863281,40.724525451660156,True,True
2805220,2016-02-10 19:54:54,-74.01023864746094,40.71961975097656,True,True
2805225,2016-02-10 19:54:55,-74.0051498413086,40.71944046020508,True,True
2805230,2016-02-10 19:54:56,-74.00518035888672,40.71990585327149,True,True
2805304,2016-02-10 19:55:05,-74.01283264160156,40.71541976928711,True,True
2805354,2016-02-10 19:55:12,-74.0076675415039,40.71520614624024,True,True
2805368,2016-02-10 19:55:15,-74.00254821777344,40.723670959472656,True,True
2805377,2016-02-10 19:55:17,-74.004150390625,40.72185134887695,True,True
2805412,2016-02-10 19:55:24,-74.00539398193358,40.720081329345696,True,True
2805425,2016-02-10 19:55:27,-74.00858306884766,40.72039794921875,True,True
2805464,2016-02-10 19:55:33,-74.00467681884766,40.72133255004883,True,True
2805541,2016-02-10 19:55:45,-74.00818634033203,40.7223014831543,True,True
2805574,2016-02-10 19:55:49,-74.00441741943358,40.72407531738281,True,True
2805764,2016-02-10 19:56:15,-74.00971984863281,40.71480178833008,True,True
2805791,2016-02-10 19:56:19,-74.0032501220703,40.7239990234375,True,True
2805802,2016-02-10 19:56:21,-74.01001739501955,40.72106170654297,True,True
2805840,2016-02-10 19:56:27,-74.0032730102539,40.71745300292969,True,True
2805904,2016-02-10 19:56:35,-74.00623321533203,40.72326278686523,True,True
2805927,2016-02-10 19:56:37,-74.0059051513672,40.717586517333984,True,True
2805977,2016-02-10 19:56:43,-74.00735473632812,40.71576690673828,True,True
2806030,2016-02-10 19:56:50,-74.00694274902342,40.71837615966797,True,True
2806073,2016-02-10 19:56:57,-74.00334930419923,40.720401763916016,True,True
2806142,2016-02-10 19:57:08,-74.00701904296875,40.71610641479492,True,True
2806164,2016-02-10 19:57:12,-74.00822448730467,40.72216033935547,True,True
2806168,2016-02-10 19:57:12,-74.00448608398438,40.718894958496094,True,True
2806254,2016-02-10 19:57:23,-74.00775146484375,40.72321319580078,True,True
2806284,2016-02-10 19:57:26,-74.00762176513672,40.72488021850585,True,True
2806310,2016-02-10 19:57:30,-74.00350952148438,40.722503662109375,True,True
2806337,2016-02-10 19:57:33,-74.00521850585938,40.7181510925293,True,True
2806354,2016-02-10 19:57:36,-74.01011657714845,40.71976852416992,True,True
2806360,2016-02-10 19:57:37,-74.01097869873048,40.71554183959961,True,True
2806384,2016-02-10 19:57:40,-74.01121520996094,40.71556854248047,True,True
2806402,2016-02-10 19:57:43,-74.00245666503906,40.721771240234375,True,True
2806422,2016-02-10 19:57:46,-74.00852966308595,40.72046661376953,True,True
2806428,2016-02-10 19:57:46,-74.00765991210938,40.7249412536621,True,True
2806454,2016-02-10 19:57:50,-74.00862884521484,40.71604537963867,True,True
