tpep_pickup_datetime,pickup_longitude,pickup_latitude
2016-02-19 20:58:55,-74.0057373046875,40.71767807006836
2016-02-19 20:58:57,-74.00321960449219,40.72501754760742
2016-02-19 20:59:01,-74.00907897949219,40.71713638305664
2016-02-19 20:59:06,-74.0086669921875,40.719139099121094
2016-02-19 20:59:08,-74.00493621826173,40.72018432617188
2016-02-19 20:59:09,-74.00556945800781,40.71810150146485
2016-02-19 20:59:13,-74.00916290283203,40.71664810180664
2016-02-19 20:59:17,-74.00416564941406,40.725196838378906
2016-02-19 20:59:20,-74.00408172607422,40.7198486328125
2016-02-19 20:59:22,-74.00997924804686,40.72085952758789
2016-02-19 20:59:31,-74.01012420654298,40.720947265625
2016-02-19 20:59:42,-74.00767517089844,40.71527862548828
2016-02-19 20:59:43,-74.00527954101562,40.7198600769043
